n_comodinos,dinos_rescatados,victoria,n_turnos
2,10,True,34
2,6,False,26
2,9,False,34
2,10,True,34
2,8,False,33
2,10,True,33
2,10,True,31
2,7,False,30
2,10,True,33
2,10,True,35
2,10,True,34
2,9,False,34
2,10,True,31
2,9,False,32
2,10,True,34
2,10,True,34
2,6,False,27
2,9,False,35
2,10,True,33
2,10,True,31
2,8,False,32
2,9,False,33
2,10,True,34
2,9,False,35
2,10,True,34
2,10,True,32
2,10,True,33
2,10,True,33
2,6,False,28
2,9,False,35
2,8,False,30
2,10,True,32
2,9,False,35
2,9,False,35
2,10,True,32
2,10,True,35
2,9,False,33
2,10,True,31
2,10,True,31
2,10,True,32
2,9,False,35
2,9,False,35
2,6,False,25
2,8,False,29
2,10,True,34
2,10,True,32
2,10,True,35
2,10,True,35
2,10,True,33
2,10,True,32
2,5,False,22
2,10,True,35
2,7,False,30
2,10,True,34
2,10,True,33
2,10,True,35
2,9,False,35
2,10,True,35
2,9,False,35
2,9,False,35
2,9,False,35
2,10,True,35
2,9,False,34
2,10,True,33
2,10,True,33
2,9,False,35
2,6,False,25
2,2,False,14
2,9,False,34
2,10,True,32
2,8,False,32
2,7,False,28
2,8,False,33
2,10,True,32
2,6,False,25
2,10,True,33
2,9,False,35
2,10,True,34
2,5,False,24
2,10,True,35
2,9,False,35
2,10,True,32
2,5,False,24
2,8,False,33
2,10,True,34
2,9,False,35
2,10,True,35
2,10,True,33
2,10,True,32
2,8,False,32
2,10,True,34
2,6,False,27
2,10,True,34
2,6,False,26
2,10,True,31
2,10,True,35
2,10,True,35
2,10,True,32
2,10,True,32
2,10,True,34
2,10,True,35
2,10,True,35
2,9,False,35
2,10,True,35
2,8,False,32
2,9,False,35
2,10,True,32
2,10,True,35
2,9,False,35
2,5,False,26
2,10,True,33
2,10,True,34
2,10,True,35
2,10,True,35
2,5,False,21
2,10,True,34
2,10,True,35
2,9,False,33
2,10,True,35
2,10,True,33
2,9,False,35
2,10,True,35
2,9,False,34
2,8,False,33
2,10,True,33
2,10,True,34
2,10,True,35
2,8,False,30
2,10,True,34
2,8,False,31
2,8,False,31
2,10,True,32
2,10,True,31
2,9,False,35
2,10,True,32
2,8,False,33
2,10,True,35
2,9,False,34
2,10,True,34
2,10,True,35
2,10,True,35
2,9,False,35
2,9,False,35
2,9,False,35
2,10,True,35
2,10,True,33
2,9,False,35
2,10,True,35
2,9,False,35
2,9,False,34
2,9,False,35
2,10,True,35
2,9,False,35
2,9,False,35
2,8,False,32
2,10,True,33
2,10,True,31
2,10,True,32
2,9,False,34
2,7,False,31
2,8,False,33
2,10,True,33
2,10,True,35
2,10,True,34
2,10,True,32
2,10,True,34
2,10,True,32
2,10,True,35
2,0,False,9
2,9,False,35
2,10,True,33
2,9,False,35
2,9,False,35
2,10,True,33
2,10,True,35
2,6,False,26
2,10,True,35
2,10,True,35
2,7,False,30
2,9,False,35
2,10,True,33
2,9,False,35
2,10,True,32
2,10,True,32
2,10,True,32
2,10,True,35
2,10,True,34
2,10,True,34
2,10,True,32
2,5,False,24
2,10,True,32
2,9,False,35
2,10,True,31
2,5,False,25
2,9,False,35
2,8,False,33
2,9,False,35
2,10,True,34
2,10,True,34
2,10,True,32
2,10,True,32
2,9,False,35
2,8,False,31
2,10,True,34
2,10,True,35
2,9,False,35
2,8,False,32
2,8,False,33
2,10,True,35
2,10,True,35
2,4,False,20
2,10,True,33
2,10,True,33
2,8,False,33
2,10,True,31
2,10,True,33
2,7,False,28
2,7,False,29
2,10,True,33
2,9,False,35
2,10,True,34
2,9,False,35
2,10,True,33
2,10,True,32
2,10,True,32
2,10,True,34
2,10,True,34
2,5,False,23
2,10,True,33
2,8,False,30
2,10,True,31
2,8,False,32
2,8,False,33
2,10,True,34
2,10,True,34
2,10,True,34
2,10,True,35
2,6,False,23
2,10,True,34
2,10,True,32
2,5,False,24
2,10,True,32
2,10,True,34
2,10,True,35
2,9,False,33
2,6,False,26
2,8,False,31
2,10,True,34
2,10,True,35
2,10,True,33
2,10,True,34
2,9,False,34
2,10,True,33
2,8,False,33
2,10,True,34
2,10,True,35
2,10,True,33
2,9,False,35
2,10,True,35
2,9,False,34
2,10,True,32
2,10,True,35
2,10,True,30
2,10,True,31
2,10,True,35
2,10,True,33
2,10,True,31
2,5,False,24
2,9,False,35
2,9,False,34
2,7,False,32
2,10,True,34
2,10,True,33
2,10,True,34
2,10,True,34
2,10,True,33
2,10,True,32
2,10,True,32
2,10,True,33
2,10,True,34
2,8,False,33
2,7,False,29
2,4,False,23
2,9,False,35
2,10,True,34
2,10,True,35
2,10,True,33
2,10,True,35
2,10,True,35
2,10,True,35
2,3,False,17
2,10,True,33
2,9,False,35
2,8,False,31
2,10,True,34
2,10,True,33
2,9,False,32
2,10,True,35
2,10,True,32
2,10,True,34
2,8,False,32
2,10,True,35
2,10,True,35
2,7,False,30
2,8,False,33
2,9,False,35
2,10,True,34
2,8,False,34
2,10,True,33
2,10,True,33
2,9,False,35
2,9,False,35
2,10,True,35
2,10,True,34
2,9,False,35
2,9,False,35
2,10,True,33
2,10,True,34
2,8,False,33
2,10,True,35
2,8,False,32
2,9,False,34
2,10,True,35
2,10,True,35
2,10,True,35
2,10,True,34
2,10,True,35
2,10,True,31
2,9,False,35
2,9,False,35
2,10,True,35
2,5,False,24
2,8,False,32
2,9,False,33
2,10,True,35
2,9,False,35
2,6,False,29
2,10,True,34
2,9,False,34
2,6,False,29
2,6,False,26
2,9,False,35
2,10,True,32
2,7,False,29
2,10,True,34
2,10,True,35
2,10,True,34
2,10,True,35
2,10,True,33
2,9,False,35
2,10,True,35
2,9,False,34
2,2,False,15
2,10,True,32
2,10,True,35
2,8,False,31
2,10,True,34
2,10,True,33
2,10,True,31
2,8,False,33
2,9,False,34
2,10,True,34
2,10,True,34
2,10,True,33
2,9,False,35
2,10,True,35
2,0,False,8
2,8,False,33
2,10,True,32
2,10,True,33
2,9,False,35
2,7,False,30
2,9,False,35
2,9,False,35
2,10,True,34
2,10,True,34
2,10,True,32
2,10,True,35
2,10,True,30
2,8,False,33
2,10,True,34
2,7,False,29
2,10,True,33
2,7,False,30
2,10,True,35
2,10,True,35
2,10,True,35
2,10,True,33
2,6,False,26
2,10,True,32
2,9,False,34
2,10,True,35
2,9,False,35
2,10,True,31
2,6,False,29
2,10,True,33
2,10,True,34
2,10,True,33
2,10,True,34
2,8,False,31
2,9,False,34
2,0,False,9
2,10,True,35
2,10,True,35
2,10,True,31
2,10,True,33
2,10,True,33
2,10,True,33
2,10,True,34
2,9,False,34
2,9,False,35
2,10,True,33
2,10,True,32
2,10,True,33
2,9,False,35
2,8,False,32
2,6,False,25
2,10,True,30
2,9,False,34
2,9,False,35
2,10,True,32
2,10,True,35
2,10,True,34
2,10,True,34
2,9,False,35
2,10,True,35
2,8,False,31
2,10,True,35
2,10,True,34
2,10,True,33
2,9,False,33
2,9,False,33
2,4,False,16
2,8,False,33
2,8,False,33
2,9,False,35
2,10,True,31
2,10,True,34
2,9,False,33
2,10,True,32
2,9,False,35
2,10,True,34
2,9,False,35
2,9,False,35
2,9,False,35
2,9,False,35
2,10,True,32
2,8,False,31
2,10,True,30
2,10,True,34
2,10,True,32
2,8,False,32
2,8,False,34
2,10,True,33
2,8,False,32
2,10,True,33
2,10,True,35
2,10,True,33
2,10,True,34
2,8,False,32
2,7,False,29
2,10,True,34
2,9,False,35
2,8,False,33
2,7,False,30
2,10,True,33
2,10,True,35
2,10,True,33
2,10,True,33
2,3,False,19
2,6,False,27
2,10,True,33
2,9,False,34
2,8,False,33
2,9,False,35
2,6,False,23
2,10,True,33
2,9,False,35
2,8,False,32
2,10,True,35
2,7,False,28
2,10,True,35
2,9,False,35
2,8,False,33
2,10,True,35
2,6,False,25
2,10,True,35
2,3,False,20
2,6,False,28
2,10,True,35
2,8,False,33
2,10,True,35
2,10,True,34
2,9,False,35
2,10,True,34
2,5,False,20
2,10,True,33
2,9,False,35
2,10,True,34
2,10,True,32
2,10,True,34
2,10,True,33
2,10,True,34
2,10,True,35
2,9,False,34
2,9,False,34
2,10,True,33
2,10,True,35
2,10,True,32
2,10,True,31
2,10,True,32
2,10,True,32
2,10,True,35
2,10,True,35
2,9,False,35
2,10,True,33
2,8,False,32
2,7,False,30
2,10,True,33
2,10,True,33
2,10,True,35
2,10,True,34
2,8,False,33
2,10,True,31
2,6,False,28
2,10,True,32
2,10,True,33
2,2,False,14
2,10,True,35
2,10,True,34
2,10,True,34
2,10,True,34
2,10,True,34
2,7,False,26
2,10,True,33
2,10,True,34
2,8,False,32
2,8,False,32
2,10,True,35
2,8,False,32
2,9,False,34
2,10,True,35
2,9,False,35
2,6,False,25
2,10,True,35
2,10,True,33
2,10,True,33
2,10,True,30
2,7,False,29
2,4,False,23
2,10,True,32
2,10,True,35
2,10,True,35
2,10,True,34
2,10,True,35
2,10,True,34
2,9,False,35
2,10,True,34
2,10,True,31
2,10,True,32
2,9,False,35
2,8,False,32
2,8,False,31
2,7,False,26
2,7,False,31
2,10,True,32
2,10,True,32
2,10,True,31
2,10,True,35
2,10,True,34
2,10,True,35
2,10,True,33
2,10,True,35
2,10,True,35
2,10,True,33
2,10,True,34
2,10,True,32
2,9,False,35
2,10,True,35
2,10,True,32
2,10,True,32
2,9,False,35
2,10,True,33
2,10,True,35
2,10,True,33
2,9,False,34
2,9,False,34
2,8,False,31
2,9,False,35
2,10,True,34
2,10,True,34
2,10,True,35
2,10,True,33
2,10,True,31
2,8,False,33
2,4,False,20
2,10,True,33
2,10,True,34
2,8,False,34
2,10,True,34
2,10,True,34
2,10,True,34
2,10,True,33
2,9,False,35
2,10,True,33
2,10,True,33
2,10,True,32
2,10,True,35
2,1,False,12
2,8,False,32
2,10,True,34
2,5,False,27
2,10,True,33
2,9,False,35
2,10,True,34
2,10,True,31
2,7,False,27
2,10,True,35
2,10,True,34
2,10,True,34
2,8,False,34
2,10,True,34
2,8,False,33
2,10,True,34
2,10,True,34
2,10,True,32
2,4,False,19
2,10,True,31
2,10,True,35
2,10,True,33
2,10,True,34
2,4,False,17
2,10,True,35
2,8,False,33
2,9,False,35
2,8,False,32
2,10,True,33
2,10,True,34
2,9,False,34
2,10,True,32
2,7,False,30
2,10,True,32
2,10,True,33
2,4,False,21
2,10,True,35
2,10,True,35
2,8,False,32
2,10,True,35
2,9,False,33
2,8,False,31
2,10,True,34
2,9,False,35
2,10,True,32
2,10,True,33
2,8,False,34
2,10,True,33
2,10,True,34
2,10,True,33
2,9,False,35
2,9,False,34
2,9,False,35
2,10,True,33
2,10,True,34
2,10,True,34
2,10,True,31
2,10,True,35
2,8,False,33
2,10,True,32
2,9,False,33
2,10,True,32
2,9,False,35
2,9,False,35
2,3,False,20
2,10,True,35
2,10,True,33
2,10,True,33
2,8,False,31
2,6,False,29
2,10,True,35
2,9,False,33
2,7,False,30
2,10,True,35
2,7,False,31
2,9,False,34
2,10,True,34
2,9,False,34
2,10,True,34
2,9,False,35
2,10,True,34
2,7,False,27
2,10,True,32
2,10,True,34
2,10,True,33
2,10,True,30
2,9,False,35
2,5,False,24
2,10,True,32
2,9,False,34
2,5,False,23
2,10,True,34
2,10,True,35
2,10,True,34
2,6,False,28
2,8,False,32
2,4,False,19
2,10,True,34
2,9,False,35
2,5,False,25
2,10,True,32
2,10,True,32
2,10,True,34
2,10,True,35
2,7,False,28
2,7,False,30
2,9,False,33
2,8,False,31
2,9,False,34
2,10,True,35
2,10,True,33
2,10,True,35
2,10,True,34
2,6,False,27
2,9,False,35
2,10,True,33
2,6,False,27
2,10,True,34
2,10,True,31
2,10,True,31
2,2,False,15
2,10,True,35
2,10,True,35
2,10,True,34
2,10,True,35
2,10,True,33
2,10,True,33
2,3,False,20
2,10,True,35
2,10,True,34
2,9,False,35
2,9,False,35
2,9,False,34
2,10,True,33
2,10,True,33
2,10,True,34
2,10,True,31
2,10,True,32
2,10,True,33
2,10,True,32
2,10,True,35
2,10,True,32
2,8,False,31
2,10,True,30
2,10,True,34
2,10,True,31
2,10,True,35
2,10,True,31
2,5,False,24
2,10,True,33
2,8,False,33
2,10,True,32
2,10,True,33
2,9,False,35
2,7,False,33
2,10,True,34
2,10,True,33
2,10,True,34
2,9,False,35
2,10,True,31
2,10,True,34
2,10,True,32
2,8,False,33
2,10,True,35
2,10,True,33
2,10,True,35
2,10,True,32
2,8,False,32
2,10,True,33
2,9,False,35
2,10,True,35
2,10,True,35
2,9,False,35
2,10,True,31
2,10,True,31
2,10,True,34
2,10,True,34
2,10,True,35
2,10,True,32
2,10,True,32
2,10,True,34
2,8,False,34
2,8,False,34
2,10,True,34
2,9,False,33
2,10,True,34
2,10,True,31
2,10,True,31
2,10,True,34
2,7,False,30
2,9,False,35
2,9,False,35
2,10,True,33
2,9,False,34
2,10,True,33
2,10,True,33
2,10,True,33
2,10,True,33
2,4,False,21
2,9,False,34
2,8,False,33
2,10,True,33
2,9,False,35
2,9,False,33
2,10,True,33
2,10,True,35
2,10,True,34
2,8,False,32
2,9,False,34
2,10,True,33
2,9,False,34
2,10,True,34
2,6,False,26
2,9,False,33
2,10,True,33
2,10,True,35
2,10,True,32
2,10,True,32
2,8,False,33
2,5,False,25
2,9,False,35
2,10,True,33
2,10,True,34
2,9,False,35
2,10,True,32
2,9,False,33
2,7,False,28
2,8,False,32
2,9,False,35
2,8,False,32
2,10,True,33
2,10,True,33
2,10,True,35
2,9,False,35
2,10,True,34
2,10,True,33
2,7,False,30
2,9,False,35
2,10,True,32
2,10,True,34
2,10,True,35
2,10,True,32
2,8,False,32
2,10,True,33
2,10,True,35
2,10,True,34
2,10,True,33
2,10,True,35
2,9,False,35
2,9,False,35
2,8,False,32
2,10,True,34
2,10,True,35
2,10,True,30
2,10,True,34
2,10,True,34
2,10,True,31
2,9,False,35
2,10,True,35
2,8,False,33
2,7,False,29
2,10,True,31
2,9,False,34
2,8,False,34
2,10,True,35
2,9,False,35
2,10,True,31
2,8,False,33
2,10,True,34
2,10,True,33
2,9,False,35
2,10,True,35
2,10,True,32
2,10,True,35
2,10,True,32
2,10,True,32
2,6,False,27
2,2,False,14
2,9,False,35
2,9,False,35
2,10,True,34
2,10,True,31
2,10,True,32
2,8,False,32
2,8,False,33
2,10,True,34
2,10,True,34
2,10,True,33
2,9,False,35
2,10,True,33
2,10,True,34
2,7,False,30
2,10,True,31
2,5,False,23
2,5,False,25
2,10,True,35
2,10,True,32
2,8,False,33
2,10,True,33
2,9,False,35
2,10,True,33
2,9,False,34
2,10,True,32
2,10,True,32
2,9,False,35
2,1,False,12
2,10,True,31
2,9,False,35
2,10,True,30
2,10,True,32
2,10,True,34
2,6,False,22
2,10,True,32
2,10,True,35
2,10,True,34
2,10,True,34
2,10,True,35
2,10,True,33
2,10,True,34
2,6,False,26
2,9,False,35
2,10,True,35
2,10,True,35
2,10,True,33
2,4,False,19
2,10,True,33
2,9,False,35
2,10,True,31
2,10,True,31
2,9,False,35
2,9,False,35
2,10,True,33
2,10,True,33
2,7,False,31
2,10,True,33
2,5,False,24
2,10,True,35
2,2,False,15
2,10,True,32
2,10,True,34
2,10,True,31
2,9,False,35
2,9,False,35
2,9,False,35
2,10,True,34
2,9,False,35
2,6,False,25
2,10,True,33
2,9,False,35
2,10,True,35
2,10,True,32
2,10,True,32
2,5,False,23
2,10,True,35
2,10,True,34
2,10,True,34
2,10,True,35
2,9,False,35
2,10,True,30
2,5,False,22
2,10,True,32
2,9,False,35
2,10,True,32
2,10,True,33
2,8,False,31
2,10,True,34
2,10,True,33
2,9,False,35
2,9,False,35
2,9,False,35
2,9,False,35
2,10,True,33
2,9,False,34
2,10,True,34
2,10,True,32
2,10,True,30
2,4,False,22
2,10,True,35
2,10,True,33
2,10,True,34
2,10,True,35
2,10,True,31
2,9,False,34
2,8,False,33
2,9,False,35
2,10,True,34
2,10,True,33
2,10,True,35
2,7,False,31
2,10,True,34
2,10,True,34
2,9,False,34
2,9,False,34
2,8,False,32
2,10,True,35
2,10,True,33
2,10,True,34
2,10,True,35
2,9,False,35
2,10,True,34
2,5,False,24
2,10,True,33
2,10,True,32
2,3,False,18
2,10,True,32
2,10,True,35
2,10,True,32
2,8,False,33
2,10,True,33
2,9,False,35
2,10,True,35
2,4,False,23
2,10,True,35
2,10,True,31
2,10,True,34
2,10,True,34
2,10,True,35
2,10,True,34
2,9,False,35
2,10,True,34
2,8,False,32
2,8,False,32
2,4,False,22
2,9,False,34
2,10,True,34
2,9,False,34
2,9,False,35
2,10,True,33
2,8,False,33
2,9,False,35
2,10,True,33
2,10,True,33
2,10,True,33
2,10,True,34
2,10,True,33
2,9,False,35
2,9,False,35
2,10,True,35
2,8,False,34
2,7,False,28
2,10,True,35
2,10,True,34
2,9,False,35
2,7,False,29
2,9,False,35
2,10,True,34
2,10,True,34
2,7,False,29
2,10,True,33
2,10,True,31
2,4,False,21
2,9,False,34
2,9,False,35
2,10,True,35
2,10,True,35
2,10,True,35
2,10,True,34
2,10,True,34
2,9,False,35
2,10,True,35
2,10,True,33
2,10,True,33
2,1,False,11
2,7,False,31
2,10,True,33
2,10,True,32
2,10,True,33
2,10,True,32
2,10,True,34
2,10,True,30
2,10,True,32
2,9,False,35
2,10,True,35
2,9,False,35
2,5,False,24
2,10,True,34
2,8,False,31
2,10,True,34
2,8,False,34
2,10,True,33
2,8,False,31
2,10,True,34
2,8,False,33
2,8,False,32
2,10,True,34
2,9,False,34
2,10,True,34
2,9,False,35
2,10,True,34
2,10,True,34
2,9,False,35
2,10,True,34
2,10,True,33
2,9,False,35
2,5,False,24
2,10,True,34
2,10,True,34
2,10,True,35
2,9,False,34
2,9,False,35
2,5,False,24
2,9,False,35
2,9,False,34
2,10,True,34
2,9,False,33
2,9,False,35
2,10,True,34
2,9,False,35
2,10,True,34
2,2,False,15
2,10,True,35
2,10,True,32
2,10,True,33
2,10,True,33
2,8,False,32
2,10,True,33
2,10,True,34
2,6,False,30
2,8,False,33
2,10,True,31
2,10,True,32
2,6,False,28
2,9,False,35
2,10,True,35
2,8,False,32
2,9,False,34
2,10,True,35
2,10,True,32
2,10,True,33
2,10,True,34
2,10,True,34
2,9,False,35
2,10,True,33
2,10,True,35
2,8,False,32
2,10,True,34
2,10,True,33
2,9,False,34
2,10,True,34
2,6,False,27
2,10,True,35
2,10,True,34
2,9,False,35
2,10,True,35
2,10,True,35
2,10,True,32
2,10,True,35
2,8,False,33
2,10,True,34
2,10,True,33
2,10,True,35
2,8,False,31
2,10,True,32
2,10,True,35
2,10,True,34
2,10,True,34
2,9,False,35
2,8,False,33
2,10,True,33
2,8,False,31
2,10,True,34
2,9,False,33
2,8,False,32
2,7,False,28
2,10,True,35
2,10,True,33
2,10,True,34
2,10,True,33
2,10,True,34
2,10,True,32
2,5,False,21
2,9,False,35
2,9,False,33
2,3,False,19
2,9,False,35
2,9,False,33
2,8,False,33
2,8,False,32
2,10,True,33
2,9,False,35
2,10,True,32
2,10,True,34
2,9,False,35
2,10,True,35
2,5,False,25
2,9,False,34
2,10,True,35
2,5,False,22
2,8,False,33
2,10,True,35
2,10,True,31
2,10,True,33
2,10,True,31
2,10,True,35
2,10,True,31
2,8,False,34
2,10,True,33
2,6,False,28
2,10,True,34
2,8,False,32
2,10,True,33
2,9,False,35
2,10,True,32
2,10,True,35
2,10,True,35
2,9,False,35
2,10,True,33
2,9,False,35
2,10,True,35
2,9,False,35
2,10,True,34
2,9,False,35
2,8,False,33
2,9,False,34
2,10,True,34
2,9,False,35
2,10,True,35
2,10,True,34
2,10,True,32
2,10,True,35
2,9,False,35
2,9,False,34
2,10,True,31
2,10,True,33
2,10,True,32
2,2,False,14
2,9,False,34
2,10,True,35
2,10,True,33
2,10,True,33
2,10,True,32
2,10,True,34
2,10,True,34
2,10,True,34
2,9,False,34
2,10,True,32
2,9,False,34
2,10,True,33
2,8,False,33
2,10,True,33
2,10,True,34
2,10,True,32
2,9,False,34
2,10,True,34
2,7,False,31
2,5,False,24
2,10,True,33
2,9,False,35
2,10,True,31
2,10,True,33
2,10,True,35
2,10,True,33
2,10,True,34
2,10,True,35
2,10,True,34
2,10,True,31
2,10,True,34
2,9,False,35
2,10,True,34
2,9,False,34
2,10,True,33
2,10,True,35
2,10,True,34
2,10,True,35
2,10,True,35
2,9,False,34
2,10,True,33
2,6,False,25
2,10,True,32
2,10,True,34
2,10,True,35
2,10,True,33
2,10,True,33
2,9,False,34
2,10,True,34
2,7,False,29
2,10,True,35
2,7,False,29
2,10,True,32
2,10,True,34
2,10,True,33
2,9,False,34
2,10,True,35
2,10,True,34
2,6,False,28
2,9,False,34
2,9,False,33
2,5,False,23
2,8,False,34
2,7,False,30
2,8,False,33
2,10,True,35
2,10,True,31
2,10,True,32
2,10,True,33
2,10,True,34
2,8,False,32
2,9,False,35
2,10,True,32
2,10,True,34
2,6,False,29
2,9,False,35
2,10,True,35
2,9,False,35
2,10,True,31
2,10,True,34
2,10,True,31
2,9,False,34
2,10,True,34
2,8,False,32
2,10,True,32
2,10,True,35
2,10,True,34
2,9,False,35
2,10,True,31
2,10,True,31
2,10,True,33
2,10,True,33
2,10,True,33
2,10,True,34
2,7,False,30
2,10,True,35
2,6,False,27
2,10,True,34
2,10,True,32
2,10,True,35
2,10,True,34
2,6,False,26
2,10,True,34
2,10,True,32
2,10,True,32
2,6,False,28
2,9,False,34
2,8,False,33
2,5,False,22
2,10,True,33
2,10,True,34
2,10,True,31
2,10,True,35
2,10,True,34
2,10,True,34
2,5,False,25
2,10,True,34
2,10,True,34
2,9,False,34
2,10,True,31
2,9,False,35
2,9,False,34
2,9,False,34
2,10,True,30
2,10,True,35
2,10,True,34
2,10,True,35
2,10,True,33
2,9,False,35
2,10,True,35
2,9,False,34
2,10,True,35
2,9,False,35
2,9,False,34
2,8,False,33
2,10,True,32
2,10,True,34
2,10,True,35
2,9,False,34
2,3,False,17
2,10,True,32
2,9,False,35
2,9,False,34
2,10,True,34
2,10,True,32
2,10,True,34
2,8,False,33
2,10,True,34
2,9,False,35
2,10,True,34
2,10,True,35
2,10,True,35
2,9,False,35
2,10,True,34
2,10,True,33
2,10,True,32
2,9,False,35
2,9,False,35
2,10,True,33
2,9,False,35
2,10,True,32
2,10,True,35
2,9,False,33
2,8,False,32
2,9,False,34
2,7,False,28
2,10,True,33
2,10,True,34
2,9,False,35
2,10,True,35
2,7,False,31
2,5,False,22
2,10,True,33
2,10,True,35
2,9,False,34
2,10,True,33
2,10,True,34
2,10,True,34
2,10,True,33
2,10,True,35
2,10,True,33
2,7,False,32
2,10,True,34
2,8,False,33
2,10,True,33
2,10,True,33
2,4,False,18
2,10,True,33
2,10,True,34
2,10,True,32
2,3,False,15
2,5,False,23
2,10,True,35
2,10,True,34
2,10,True,34
2,10,True,34
2,10,True,31
2,9,False,35
2,8,False,32
2,10,True,33
2,9,False,35
2,10,True,35
2,8,False,31
2,8,False,34
2,10,True,32
2,8,False,33
2,6,False,25
2,4,False,21
2,10,True,30
2,10,True,35
2,4,False,18
2,10,True,35
2,10,True,32
2,9,False,34
2,9,False,35
2,6,False,28
2,10,True,33
2,10,True,32
2,6,False,25
2,8,False,33
2,10,True,31
2,10,True,35
2,10,True,33
2,10,True,33
2,10,True,31
2,10,True,33
2,8,False,32
2,6,False,27
2,10,True,35
2,8,False,32
2,10,True,33
2,10,True,35
2,7,False,31
2,8,False,31
2,9,False,35
2,10,True,32
2,10,True,33
2,10,True,34
2,10,True,34
2,7,False,30
2,9,False,32
2,10,True,32
2,10,True,33
2,9,False,35
2,10,True,34
2,9,False,35
2,10,True,34
2,10,True,33
2,10,True,35
2,6,False,29
2,10,True,32
2,10,True,35
2,6,False,27
2,10,True,35
2,10,True,34
2,10,True,35
2,9,False,34
2,10,True,34
2,8,False,32
2,10,True,32
2,10,True,33
2,10,True,34
2,9,False,35
2,10,True,33
2,10,True,31
2,5,False,25
2,9,False,35
2,10,True,33
2,6,False,26
2,10,True,35
2,10,True,34
2,10,True,31
2,10,True,32
2,9,False,34
2,9,False,34
2,10,True,31
2,10,True,34
2,6,False,24
2,10,True,35
2,10,True,33
2,9,False,34
2,8,False,31
2,9,False,34
2,10,True,31
2,8,False,32
2,9,False,35
2,10,True,34
2,8,False,33
2,7,False,30
2,10,True,30
2,10,True,35
2,10,True,32
2,10,True,32
2,8,False,32
2,9,False,34
2,10,True,33
2,3,False,20
2,9,False,32
2,10,True,33
2,9,False,35
2,10,True,32
2,10,True,35
2,9,False,35
2,2,False,16
2,10,True,34
2,10,True,35
2,9,False,34
2,9,False,34
2,10,True,35
2,9,False,33
2,9,False,34
2,6,False,24
2,10,True,34
2,9,False,35
2,9,False,35
2,10,True,32
2,9,False,35
2,10,True,33
2,10,True,34
2,8,False,32
2,8,False,32
2,9,False,34
2,10,True,33
2,6,False,30
2,10,True,34
2,9,False,35
2,6,False,24
2,9,False,33
2,10,True,34
2,10,True,35
2,10,True,35
2,10,True,30
2,10,True,31
2,7,False,31
2,9,False,35
2,10,True,34
2,4,False,20
2,9,False,35
2,10,True,34
2,10,True,35
2,8,False,33
2,10,True,34
2,10,True,34
2,10,True,33
2,10,True,34
2,10,True,34
2,10,True,35
2,10,True,32
2,4,False,19
2,8,False,31
2,10,True,35
2,10,True,35
2,10,True,34
2,10,True,35
2,10,True,32
2,8,False,31
2,10,True,32
2,10,True,32
2,10,True,32
2,9,False,35
2,10,True,35
2,10,True,32
2,10,True,34
2,4,False,19
2,5,False,24
2,8,False,32
2,10,True,35
2,10,True,31
2,10,True,35
